Code,BF URL,Estate URL,Variant,Mann URL,Mann Variant,,,
BR48,https://bingleyfencing.co.uk/products/backrails?variant=41415425523898,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,4.8m,,,,,
BR42,https://bingleyfencing.co.uk/products/backrails?variant=40917576876218,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,4.2m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/back-rails-capping/75mm-x-38mm-sawn-treated-timber/,4.2 Metre (13ft 9"),,,
BR36,https://bingleyfencing.co.uk/products/backrails?variant=40917576908986,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/back-rails-capping/75mm-x-38mm-sawn-treated-timber/,3.6 Metre (11ft 10"),,,
BR24,https://bingleyfencing.co.uk/products/backrails?variant=41033978249402,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,2.4m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/back-rails-capping/75mm-x-38mm-sawn-treated-timber/,2.4 Metre (7ft 10"),,,
BR18,https://bingleyfencing.co.uk/products/backrails?variant=40917576941754,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,1.829m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/back-rails-capping/75mm-x-38mm-sawn-treated-timber/,n/a,,,
DB1,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651521722,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,n/a,,,
DB2,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651554490,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,4.8m,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,4.8 Metre (15ft 9"),,,
DB3,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651587258,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,4.2m,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,4.2 Metre (13ft 9"),,,
DB4,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651620026,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,3.6 Metre (11ft 10"),,,
DB5,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651652794,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,3.0m,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,3 Metre (10ft),,,
SLA180,https://bingleyfencing.co.uk/products/slatted-fence-panel?variant=41156198531258,https://www.estatesawmills.com/product/fencing/european-fencing-panels/slatted-panel/kdm-slatted-euro-garden-fence-panel/,1.8m x 1.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/modern-single-slatted-fence-panel/,1.8M METER (6FT),,,
SLA150,https://bingleyfencing.co.uk/products/slatted-fence-panel?variant=41156198498490,https://www.estatesawmills.com/product/fencing/european-fencing-panels/slatted-panel/kdm-slatted-euro-garden-fence-panel/,1.8m x 1.5m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/modern-single-slatted-fence-panel/,1.5 METER (5FT),,,
SLA120,https://bingleyfencing.co.uk/products/slatted-fence-panel?variant=41156198465722,https://www.estatesawmills.com/product/fencing/european-fencing-panels/slatted-panel/kdm-slatted-euro-garden-fence-panel/,1.8m x 1.2m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/modern-single-slatted-fence-panel/,1.2 METER (4FT),,,
SLA90,https://bingleyfencing.co.uk/products/slatted-fence-panel?variant=41156198432954,https://www.estatesawmills.com/product/fencing/european-fencing-panels/slatted-panel/kdm-slatted-euro-garden-fence-panel/,1.8m x 0.9m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/panels-gates/modern-single-slatted-fence-panel/,0.9 METER (3FT),,,
