ProductId,BFUrl,Competitor1Url,Competitor1Variation,Comptetitor2Url,Competitor2Variation,Competitor1ExtractedPrice,Competitor2ExtractedPrice,BFExtractedPrice
BR48,https://bingleyfencing.co.uk/products/backrails?variant=41415425523898,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,4.8m,,,5.47,,5.86
BR42,https://bingleyfencing.co.uk/products/backrails?variant=40917576876218,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,4.2m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/back-rails-capping/75mm-x-38mm-sawn-treated-timber/,"4.2 Metre (13ft 9"")",4.78,4.91,5.15
BR36,https://bingleyfencing.co.uk/products/backrails?variant=40917576908986,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/back-rails-capping/75mm-x-38mm-sawn-treated-timber/,"3.6 Metre (11ft 10"")",4.11,4.21,4.4
BR24,https://bingleyfencing.co.uk/products/backrails?variant=41033978249402,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,2.4m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/back-rails-capping/75mm-x-38mm-sawn-treated-timber/,"2.4 Metre (7ft 10"")",2.74,2.81,2.93
BR18,https://bingleyfencing.co.uk/products/backrails?variant=40917576941754,https://www.estatesawmills.com/product/fencing/bic-spikes-bolt-down-supports/spiked-post-supports/75mm-x-38mm-fence-rails/,1.829m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/back-rails-capping/75mm-x-38mm-sawn-treated-timber/,n/a,2.09,2.14,2.23
DB1,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651521722,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,n/a,ERROR: Length cannot be less than zero. (Parameter 'length'),6.43,11.55
DB2,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651554490,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,4.8m,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,"4.8 Metre (15ft 9"")",10.63,10.4,10.27
DB3,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651587258,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,4.2m,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,"4.2 Metre (13ft 9"")",9.3,9,8.98
DB4,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651620026,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,"3.6 Metre (11ft 10"")",7.97,7.71,7.7
DB5,https://bingleyfencing.co.uk/products/decking-boards?variant=40917651652794,https://www.estatesawmills.com/product/classic-grooved-decking-120mm-wide/?pa_colour=28mm,3.0m,https://www.manninghamconcrete.co.uk/fencing-decking/decking/decking-board/arbor-scandinavian-decking-board-ex-125-x-38mm-finished-size-120-x-32mm/,3 Metre (10ft),6.65,6.43,6.42
